Number trials, block size, mega trials/sec, percent chance
      1024 ,        8 ,    10.2762 ,  27.73
      1024 ,       32 ,    11.9358 ,  25.20
      1024 ,       64 ,    12.2841 ,  29.00
      1024 ,      128 ,    11.9805 ,  27.64
      4096 ,        8 ,    38.6941 ,  26.78
      4096 ,       32 ,    40.3150 ,  27.00
      4096 ,       64 ,    41.3838 ,  26.32
      4096 ,      128 ,    26.9985 ,  27.17
     16384 ,        8 ,   128.5141 ,  26.63
     16384 ,       32 ,   179.4602 ,  27.11
     16384 ,       64 ,   139.8525 ,  26.89
     16384 ,      128 ,   134.8433 ,  26.35
     65536 ,        8 ,   397.2842 ,  26.81
     65536 ,       32 ,   388.0258 ,  26.85
     65536 ,       64 ,   643.0141 ,  27.10
     65536 ,      128 ,   648.3064 ,  26.81
    262144 ,        8 ,   681.9279 ,  26.90
    262144 ,       32 ,  1317.0418 ,  26.79
    262144 ,       64 ,  2023.7154 ,  26.79
    262144 ,      128 ,  1188.6245 ,  26.72
   1048576 ,        8 ,   765.5359 ,  26.84
   1048576 ,       32 ,  2138.6242 ,  26.86
   1048576 ,       64 ,  2934.8859 ,  26.97
   1048576 ,      128 ,  3232.8335 ,  26.85
   2097152 ,        8 ,   811.0590 ,  26.87
   2097152 ,       32 ,  2630.9114 ,  26.84
   2097152 ,       64 ,  4008.8083 ,  26.86
   2097152 ,      128 ,  4212.6373 ,  26.87